gene_id	family
Bradi1g32660	NAC
Bradi1g32720	MYB / MYB-related
Bradi1g32951	FAR1-like
Bradi1g33160	ARF
Bradi1g33180	MED26
Bradi1g33370	MED26
Bradi1g33410	MYB / MYB-related
Bradi1g33550	AP2/ERF-ERF
Bradi1g33570	MED26
Bradi1g33580	MED26
Bradi1g33600	MED26
Bradi1g33980	C2C2-Dof
Bradi1g34340	ARF
Bradi1g34461	TRAF
Bradi1g34470	G2-like
Bradi1g34507	C3H
Bradi1g34530	PHD
Bradi1g34695	ARR-B
Bradi1g34842	MYB / MYB-related
Bradi1g34990	SHI/STY (SRS)
Bradi1g35000	MADS
Bradi1g35030	PHD
Bradi1g35190	MYB / MYB-related
Bradi1g35322	FAR1-like
Bradi1g35588	ABI3-VP1
Bradi1g35790	bZIP
Bradi1g35920	C3H
Bradi1g35990	bHLH
Bradi1g36067	C2H2
Bradi1g36200	NAC
Bradi1g36236	G2-like
Bradi1g36542	MYB / MYB-related
Bradi1g36590	AP2/ERF-ERF
Bradi1g36750	bZIP
Bradi1g36920	DBP
Bradi1g36930	Aux/IAA
Bradi1g37080	MBF1
Bradi1g37480	C2C2-GATA
Bradi1g37720	HSF
Bradi1g37800	Homeobox
Bradi1g37898	NAC
Bradi1g38110	AP2/ERF-AP2
Bradi1g38140	HSF
Bradi1g38180	BZR
Bradi1g38238	AP2/ERF-AP2
Bradi1g38577	E2F-DP
Bradi1g38650	bHLH
Bradi1g38730	NAC
Bradi1g39472	WRKY
Bradi1g39927	MADS
Bradi1g41712	NAC
Bradi1g41993	MYB / MYB-related
Bradi1g42040	Homeobox
Bradi1g42440	bHLH
Bradi1g43021	FAR1-like
Bradi1g43220	C2C2-CO-like
Bradi1g43590	PHD
Bradi1g43650	bHLH
Bradi1g43661	bZIP
Bradi1g43670	C2C2-CO-like
Bradi1g43710	G2-like
Bradi1g43840	NAC
Bradi1g43990	C2C2-CO-like
Bradi1g44070	MYB / MYB-related
Bradi1g44241	FAR1-like
Bradi1g44328	MYB / MYB-related
Bradi1g44520	E2F-DP
Bradi1g44810	LIM
Bradi1g45220	TCP
Bradi1g45260	bHLH
Bradi1g45320	mTERF
Bradi1g45330	mTERF
Bradi1g45338	mTERF
Bradi1g45361	mTERF
Bradi1g45470	AP2/ERF-ERF
Bradi1g45510	MYB / MYB-related
Bradi1g45517	ABI3-VP1
Bradi1g45620	SNF2
Bradi1g45807	MADS
Bradi1g45820	MED6
Bradi1g46060	bZIP
Bradi1g46100	bHLH
Bradi1g46120	AP2/ERF-ERF
Bradi1g46160	GeBP
Bradi1g46212	FAR1-like
Bradi1g46247	Homeobox
Bradi1g46427	GRF
Bradi1g46675	MADS
Bradi1g46700	bHLH
Bradi1g47050	PHD
Bradi1g47350	bHLH
Bradi1g47400	ARR-B
Bradi1g47460	FAR1-like
Bradi1g47480	AP2/ERF-ERF
Bradi1g47560	MYB / MYB-related
Bradi1g47690	WRKY
Bradi1g47705	TRAF
Bradi1g47710	DBP
Bradi1g48320	AP2/ERF-ERF
Bradi1g48340	CPP
Bradi1g48350	FAR1-like
Bradi1g48400	bHLH
Bradi1g48520	MADS
Bradi1g48525	MYB / MYB-related
Bradi1g48580	NAC
Bradi1g48625	AP2/ERF-ERF
Bradi1g48635	FAR1-like
Bradi1g48690	ABI3-VP1
Bradi1g49560	AP2/ERF-AP2
Bradi1g49570	AP2/ERF-AP2
Bradi1g49580	SET
Bradi1g49630	GRAS
Bradi1g49730	TRAF
Bradi1g49980	BBR/BPC
Bradi1g50057	NAC
Bradi1g50237	ABI3-VP1
Bradi1g50597	GRF
Bradi1g51030	WRKY
Bradi1g51040	WHIRLY
Bradi1g51045	AP2/ERF-AP2
Bradi1g51270	Homeobox
Bradi1g51730	ABI3-VP1
Bradi1g51747	MYB / MYB-related
Bradi1g51961	MYB / MYB-related
Bradi1g51980	Homeobox
Bradi1g52000	ABI3-VP1
Bradi1g52240	GRAS
Bradi1g52360	C2C2-CO-like
Bradi1g52490	C2H2
Bradi1g53050	GNAT
Bradi1g53650	AP2/ERF-AP2
Bradi1g53660	Alfin-like
Bradi1g53753	AP2/ERF-AP2
Bradi1g53756	AP2/ERF-AP2
Bradi1g53770	NAC
Bradi1g53840	SET
Bradi1g54070	bHLH
Bradi1g54111	bHLH
Bradi1g54180	bZIP
Bradi1g54312	FAR1-like
Bradi1g54450	AP2/ERF-ERF
Bradi1g54690	bHLH
Bradi1g54700	DDT
Bradi1g55041	MADS
Bradi1g55051	MADS
Bradi1g55090	PHD
Bradi1g55370	Aux/IAA
Bradi1g55427	bHLH
Bradi1g55446	bZIP
Bradi1g55550	ARID
Bradi1g55710	CPP
Bradi1g55990	PHD
Bradi1g56841	FAR1-like
Bradi1g57070	C2C2-YABBY
Bradi1g57082	Homeobox
Bradi1g57421	MADS
Bradi1g57560	AP2/ERF-AP2
Bradi1g57607	Homeobox
Bradi1g57635	SNF2
Bradi1g57840	FAR1-like
Bradi1g57870	MADS
Bradi1g57875	MADS
Bradi1g57920	mTERF
Bradi1g57970	AP2/ERF-ERF
Bradi1g58057	NAC
Bradi1g58087	MYB / MYB-related
Bradi1g58197	mTERF
Bradi1g58230	bHLH
Bradi1g58330	Rcd1-like
Bradi1g58450	TCP
Bradi1g58520	NAC
Bradi1g58830	G2-like
Bradi1g59250	MADS
Bradi1g59750	C2H2
Bradi1g60106	MYB / MYB-related
Bradi1g60140	GRAS
Bradi1g60531	ABI3-VP1
Bradi1g60817	CAMTA
Bradi1g61160	MYB / MYB-related
Bradi1g61477	GeBP
Bradi1g61525	NAC
Bradi1g61620	HSF
Bradi1g61653	MED26
Bradi1g61810	mTERF
Bradi1g62320	SNF2
Bradi1g62420	C2C2-CO-like
Bradi1g63120	OVATE
Bradi1g63170	bZIP
Bradi1g63220	WRKY
Bradi1g63530	G2-like
Bradi1g63600	NAC
Bradi1g63630	NAC
Bradi1g63690	G2-like
Bradi1g63780	EIL
Bradi1g63840	bZIP
Bradi1g63910	WRKY
Bradi1g64060	bZIP
Bradi1g64140	MYB / MYB-related
Bradi1g64240	AP2/ERF-AP2
Bradi1g64550	bZIP
Bradi1g64687	MYB / MYB-related
Bradi1g64740	PHD
Bradi1g64800	C3H
Bradi1g64870	SET
Bradi1g65238	MYB / MYB-related
Bradi1g65760	LBD
Bradi1g66330	C2H2
Bradi1g66597	C2C2-Dof
Bradi1g66980	LIM
Bradi1g67100	LIM
Bradi1g67230	C2H2
Bradi1g67340	GRAS
Bradi1g67350	AP2/ERF-AP2
Bradi1g67500	bHLH
Bradi1g67740	FAR1-like
Bradi1g67770	FAR1-like
Bradi1g67910	MYB / MYB-related
Bradi1g68170	LBD
Bradi1g68510	MYB / MYB-related
Bradi1g68570	C2H2
Bradi1g68730	C2H2
Bradi1g68800	MYB / MYB-related
Bradi1g69150	Homeobox
Bradi1g69185	Homeobox
Bradi1g69190	bHLH
Bradi1g69208	AP2/ERF-AP2
Bradi1g69407	HSF
Bradi1g69480	ARR-B
Bradi1g69617	NAC
Bradi1g69850	Rcd1-like
Bradi1g69900	C2C2-YABBY
Bradi1g70067	ABI3-VP1
Bradi1g70820	GNAT
Bradi1g70860	bHLH
Bradi1g70942	MADS
Bradi1g71280	Homeobox
Bradi1g71320	OVATE
Bradi1g71330	C2H2
Bradi1g71575	GNAT
Bradi1g71740	AP2/ERF-ERF
Bradi1g71930	Homeobox
Bradi1g71990	bHLH
Bradi1g72196	FAR1-like
Bradi1g72300	MYB / MYB-related
Bradi1g72330	ABI3-VP1
Bradi1g72457	AP2/ERF-AP2
Bradi1g72485	MYB / MYB-related
Bradi1g72590	ZIM
Bradi1g72600	ZIM
Bradi1g72610	ZIM
Bradi1g72830	GNAT
Bradi1g72890	AP2/ERF-AP2
Bradi1g72960	CCAAT-HAP2
Bradi1g72990	AP2/ERF-ERF
Bradi1g73013	ZF-HD
Bradi1g73016	ZF-HD
Bradi1g73020	ZF-HD
Bradi1g73023	ZF-HD
Bradi1g73026	ZF-HD
Bradi1g73140	bHLH
Bradi1g73190	Homeobox
Bradi1g73710	C2C2-Dof
Bradi1g73790	SET
Bradi1g74520	OVATE
Bradi1g74890	E2F-DP
Bradi1g74950	GNAT
Bradi1g74997	C2H2
Bradi1g75040	AP2/ERF-ERF
Bradi1g75110	LBD
Bradi1g75120	LBD
Bradi1g75123	C2H2
Bradi1g75420	C2C2-GATA
Bradi1g75595	MYB / MYB-related
Bradi1g76030	bHLH
Bradi1g76340	NLP
Bradi1g76690	bZIP
Bradi1g76732	NAC
Bradi1g76781	OVATE
Bradi1g76970	Homeobox
Bradi1g77020	MADS
Bradi1g77070	bHLH
Bradi1g77120	AP2/ERF-ERF
Bradi1g77150	ABI3-VP1
Bradi1g77217	NAC
Bradi1g77760	SWI/SNF-BAF60
Bradi1g77954	NAC
Bradi1g78230	GRAS
Bradi1g78440	SNF2
Bradi1g78540	C2C2-GATA
Bradi2g00280	FAR1-like
Bradi2g00423	MYB / MYB-related
Bradi2g00720	bHLH
Bradi2g00730	bHLH
Bradi2g01000	bHLH
Bradi2g02100	AP2/ERF-ERF
Bradi2g02710	RAV
Bradi2g02720	RAV
Bradi2g02810	MYB / MYB-related
Bradi2g03120	MED26
Bradi2g03448	NAC
Bradi2g03467	NAC
Bradi2g03617	SNF2
Bradi2g04252	MYB / MYB-related
Bradi2g04590	bZIP
Bradi2g04622	C3H
Bradi2g04628	C3H
Bradi2g04631	C3H
Bradi2g04810	G2-like
Bradi2g04820	LEUNIG
Bradi2g04910	Aux/IAA
Bradi2g05320	PHD
Bradi2g05430	HMG
Bradi2g05500	WRKY
Bradi2g05590	G2-like
Bradi2g05650	Aux/IAA
Bradi2g05740	MYB / MYB-related
Bradi2g05750	C3H
Bradi2g05760	G2-like
Bradi2g05794	C2C2-Dof
Bradi2g05870	TRAF
Bradi2g05890	FAR1-like
Bradi2g05900	C2H2
Bradi2g06180	AP2/ERF-AP2
Bradi2g06210	bZIP
Bradi2g06330	MADS
Bradi2g06400	BZR
Bradi2g06560	MBF1
Bradi2g07050	bHLH
Bradi2g07082	PHD
Bradi2g07090	CSD
Bradi2g07357	AP2/ERF-AP2
Bradi2g07543	OVATE
Bradi2g07677	MYB / MYB-related
Bradi2g07770	Aux/IAA
Bradi2g07910	FAR1-like
Bradi2g07980	ABI3-VP1
Bradi2g07986	ABI3-VP1
Bradi2g08080	bHLH
Bradi2g08120	ARF
Bradi2g08177	NLP
Bradi2g08287	G2-like
Bradi2g08366	NAC
Bradi2g08460	C2H2
Bradi2g08480	LBD
Bradi2g08600	NLP
Bradi2g08620	WRKY
Bradi2g08810	GeBP
Bradi2g08905	C3H
Bradi2g09340	C3H
Bradi2g09350	C3H
Bradi2g09434	AP2/ERF-ERF
Bradi2g09530	NAC
Bradi2g09720	C2C2-Dof
Bradi2g10335	SWI/SNF-BAF60
Bradi2g10340	MYB / MYB-related
Bradi2g10640	C2C2-Dof
Bradi2g10745	MADS
Bradi2g10830	bZIP
Bradi2g11080	MYB / MYB-related
Bradi2g11100	bHLH
Bradi2g11120	Aux/IAA
Bradi2g11145	MADS
Bradi2g11156	MADS
Bradi2g11163	MADS
Bradi2g11260	bHLH
Bradi2g11350	DBP
Bradi2g11400	G2-like
Bradi2g11430	MYB / MYB-related
Bradi2g11540	Homeobox
Bradi2g11676	MYB / MYB-related
Bradi2g11890	AP2/ERF-AP2
Bradi2g12566	MADS
Bradi2g12590	C2C2-GATA
Bradi2g12691	FAR1-like
Bradi2g12950	SNF2
Bradi2g13416	SET
Bradi2g13560	GRAS
Bradi2g13860	MYB / MYB-related
Bradi2g14120	C2H2
Bradi2g14132	C3H
Bradi2g14320	GRF
Bradi2g14340	SNF2
Bradi2g14890	C2C2-GATA
Bradi2g14927	ZF-HD
Bradi2g15360	WRKY
Bradi2g15405	WRKY
Bradi2g15670	C3H
Bradi2g15847	AP2/ERF-AP2
Bradi2g15872	WRKY
Bradi2g15877	WRKY
Bradi2g15940	bZIP
Bradi2g16120	MYB / MYB-related
Bradi2g16150	WRKY
Bradi2g16357	WRKY
Bradi2g16442	AP2/ERF-AP2
Bradi2g16444	Homeobox
Bradi2g16610	ARF
Bradi2g16647	Homeobox
Bradi2g16850	Aux/IAA
Bradi2g17280	MYB / MYB-related
Bradi2g17610	RAV
Bradi2g17615	FAR1-like
Bradi2g17982	MYB / MYB-related
Bradi2g18200	bHLH
Bradi2g18250	MYB / MYB-related
Bradi2g18400	FAR1-like
Bradi2g18530	FAR1-like
Bradi2g18570	AP2/ERF-AP2
Bradi2g18980	HSF
Bradi2g19070	WRKY
Bradi2g19130	SNF2
Bradi2g19270	C3H
Bradi2g19480	C2C2-GATA
Bradi2g19610	Homeobox
Bradi2g19820	VOZ
Bradi2g19867	ARF
Bradi2g19930	C2C2-Dof
Bradi2g19960	TUB
Bradi2g20347	CPP
Bradi2g20590	NAC
Bradi2g20760	GRAS
Bradi2g21060	AP2/ERF-AP2
Bradi2g21067	AP2/ERF-ERF
Bradi2g21197	bZIP
Bradi2g21264	ARF
Bradi2g21270	FAR1-like
Bradi2g21290	CCAAT-HAP5
Bradi2g21432	SNF2
Bradi2g21820	bZIP
Bradi2g21880	G2-like
Bradi2g22010	GRAS
Bradi2g22130	ABI3-VP1
Bradi2g22150	GNAT
Bradi2g22230	WRKY
Bradi2g22241	WRKY
Bradi2g22440	FAR1-like
Bradi2g22505	AP2/ERF-AP2
Bradi2g22810	bHLH
Bradi2g23160	C2H2
Bradi2g23341	MYB / MYB-related
Bradi2g23520	bHLH
Bradi2g23530	Homeobox
Bradi2g23710	MYB / MYB-related
Bradi2g23870	C2H2
Bradi2g23890	bZIP
Bradi2g23967	NAC
Bradi2g23978	G2-like
Bradi2g23996	OVATE
Bradi2g24002	OVATE
Bradi2g24040	C2C2-Dof
Bradi2g24110	TUB
Bradi2g24175	AP2/ERF-AP2
Bradi2g24400	MYB / MYB-related
Bradi2g24790	NAC
Bradi2g24987	NAC
Bradi2g25017	SWI/SNF-BAF60
Bradi2g25050	AP2/ERF-ERF
Bradi2g25090	MADS
Bradi2g25104	Alfin-like
Bradi2g25120	Alfin-like
Bradi2g25150	NAC
Bradi2g25350	MED26
Bradi2g25374	mTERF
Bradi2g25380	G2-like
Bradi2g25400	bZIP
Bradi2g25580	SBP
Bradi2g25830	mTERF
Bradi2g25837	mTERF
Bradi2g26076	TRAF
Bradi2g26120	FAR1-like
Bradi2g26320	MADS
Bradi2g26342	FAR1-like
Bradi2g26823	SHI/STY (SRS)
Bradi2g26987	AP2/ERF-AP2
Bradi2g27040	FAR1-like
Bradi2g27097	GNAT
Bradi2g27920	AP2/ERF-AP2
Bradi2g28020	NAC
Bradi2g28910	MYB / MYB-related
Bradi2g29010	AP2/ERF-ERF
Bradi2g29960	AP2/ERF-ERF
Bradi2g30530	MADS
Bradi2g30695	WRKY
Bradi2g31107	JUMONJI
Bradi2g31275	Homeobox
Bradi2g31480	AP2/ERF-ERF
Bradi2g31600	Homeobox
Bradi2g31710	NLP
Bradi2g31820	Aux/IAA
Bradi2g31850	C2H2
Bradi2g31887	MYB / MYB-related
Bradi2g32910	MADS
Bradi2g33417	Aux/IAA
Bradi2g33454	C3H
Bradi2g33456	MADS
Bradi2g33540	FAR1-like
Bradi2g33580	HMG
Bradi2g33650	G2-like
Bradi2g34030	Aux/IAA
Bradi2g34520	LBD
Bradi2g34600	bHLH
Bradi2g34640	Alfin-like
Bradi2g34670	MYB / MYB-related
Bradi2g35057	C2C2-GATA
Bradi2g35299	FAR1-like
Bradi2g35463	MYB / MYB-related
Bradi2g35740	SNF2
Bradi2g36380	SNF2
Bradi2g36730	MYB / MYB-related
Bradi2g36740	bHLH
Bradi2g36774	MADS
Bradi2g36778	MADS
Bradi2g36782	MADS
Bradi2g36810	FAR1-like
Bradi2g37111	MADS
Bradi2g37130	C2C2-Dof
Bradi2g37377	MYB / MYB-related
Bradi2g37387	ABI3-VP1
Bradi2g37430	C2H2
Bradi2g37650	Homeobox
Bradi2g37790	C2H2
Bradi2g37795	FAR1-like
Bradi2g37961	LBD
Bradi2g38030	PHD
Bradi2g38160	MYB / MYB-related
Bradi2g38247	C3H
Bradi2g38380	bZIP
Bradi2g38390	Homeobox
Bradi2g38560	MYB / MYB-related
Bradi2g38640	DBP
Bradi2g38695	MADS
Bradi2g39440	C3H
Bradi2g39700	C2H2
Bradi2g39970	bHLH
Bradi2g40026	NAC
Bradi2g40703	PHD
Bradi2g40920	NLP
Bradi2g41235	PLATZ
Bradi2g41265	C2H2
Bradi2g41390	bHLH
Bradi2g41530	HSF
Bradi2g41540	C3H
Bradi2g41550	C2H2
Bradi2g41585	LBD
Bradi2g41670	bHLH
Bradi2g42023	WRKY
Bradi2g42233	MADS
Bradi2g42240	MYB / MYB-related
Bradi2g42340	SNF2
Bradi2g42400	OVATE
Bradi2g42870	MYB / MYB-related
Bradi2g42936	MYB / MYB-related
Bradi2g43077	LEUNIG
Bradi2g43087	LEUNIG
Bradi2g43190	GNAT
Bradi2g43290	MADS
Bradi2g43362	LSD
Bradi2g43500	SNF2
Bradi2g44035	WRKY
Bradi2g44050	HSF
Bradi2g44060	OVATE
Bradi2g44090	WRKY
Bradi2g44270	WRKY
Bradi2g44520	MYB / MYB-related
Bradi2g44540	Homeobox
Bradi2g44770	MYB / MYB-related
Bradi2g45000	Homeobox
Bradi2g45117	GRAS
Bradi2g45430	PHD
Bradi2g45480	WRKY
Bradi2g45530	AP2/ERF-ERF
Bradi2g45567	bZIP
Bradi2g45750	C2C2-GATA
Bradi2g45770	MYB / MYB-related
Bradi2g45780	MYB / MYB-related
Bradi2g45900	WRKY
Bradi2g45927	HMG
Bradi2g46020	NAC
Bradi2g46055	Homeobox
Bradi2g46190	ARF
Bradi2g46230	Homeobox
Bradi2g46320	Trihelix
Bradi2g46350	TUB
Bradi2g46420	Aux/IAA
Bradi2g46426	NAC
Bradi2g46483	NAC
Bradi2g46770	MYB / MYB-related
Bradi2g46980	NAC
Bradi2g47220	AP2/ERF-AP2
Bradi2g47367	MYB / MYB-related
Bradi2g47590	MYB / MYB-related
Bradi2g47730	bHLH
Bradi2g47740	p15 (PC4,Sub1)
Bradi2g47820	MYB / MYB-related
Bradi2g47887	MYB / MYB-related
Bradi2g48057	ABI3-VP1
Bradi2g48090	WRKY
Bradi2g48320	Trihelix
Bradi2g48387	PHD
Bradi2g48515	MYB / MYB-related
Bradi2g48580	ABI3-VP1
Bradi2g48597	ABI3-VP1
Bradi2g48690	MADS
Bradi2g48907	WRKY
Bradi2g48970	OVATE
Bradi2g48990	HSF
Bradi2g49020	FAR1-like
Bradi2g49250	C2H2
Bradi2g49420	Aux/IAA
Bradi2g49620	C2C2-GATA
Bradi2g49860	HSF
Bradi2g49880	OVATE
Bradi2g49906	WRKY
Bradi2g50035	AP2/ERF-ERF
Bradi2g50070	VOZ
Bradi2g50120	ARF
Bradi2g50220	bZIP
Bradi2g50370	C2C2-Dof
Bradi2g50540	CPP
Bradi2g50687	TCP
Bradi2g51030	TRAF
Bradi2g51310	LBD
Bradi2g51320	SET
Bradi2g51680	C2H2
Bradi2g51727	SNF2
Bradi2g51790	Ultrapetala
Bradi2g52040	C2H2
Bradi2g52227	GRAS
Bradi2g52370	AP2/ERF-AP2
Bradi2g52380	AP2/ERF-ERF
Bradi2g52815	FAR1-like
Bradi2g52860	bZIP
Bradi2g53010	MYB / MYB-related
Bradi2g53260	NAC
Bradi2g53390	Homeobox
Bradi2g53486	WRKY
Bradi2g53495	WRKY
Bradi2g53497	WRKY
Bradi2g53520	WRKY
Bradi2g53610	OVATE
Bradi2g53690	LBD
Bradi2g53760	FAR1-like
Bradi2g54030	bHLH
Bradi2g54220	C3H
Bradi2g54470	C2H2
Bradi2g54500	C2H2
Bradi2g54590	Homeobox
Bradi2g54640	MYB / MYB-related
Bradi2g54670	GRAS
Bradi2g54791	G2-like
Bradi2g54940	Homeobox
Bradi2g55217	MYB / MYB-related
Bradi2g55270	Homeobox
Bradi2g55303	MYB / MYB-related
Bradi2g55540	C2H2
Bradi2g55550	bZIP
Bradi2g55780	NAC
Bradi2g55827	OVATE
Bradi2g55870	OVATE
Bradi2g55880	OVATE
Bradi2g55935	FAR1-like
Bradi2g55980	C2C2-Dof
Bradi2g56096	bZIP
Bradi2g56145	AP2/ERF-ERF
Bradi2g56320	C2H2
Bradi2g56520	MYB / MYB-related
Bradi2g56710	PHD
Bradi2g56792	SET
Bradi2g56910	GRAS
Bradi2g57000	MADS
Bradi2g57020	PHD
Bradi2g57100	NAC
Bradi2g57107	SWI/SNF-BAF60
Bradi2g57201	AP2/ERF-AP2
Bradi2g57280	Alfin-like
Bradi2g57297	NAC
Bradi2g57336	C3H
Bradi2g57365	C2H2
Bradi2g57476	TAZ
Bradi2g57800	bHLH
Bradi2g57940	GRAS
