accession,title,description
PF02799.18,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain","The N and C-terminal domains of NMT are structurally similar, each adopting an acyl-CoA N-acyltransferase-like fold."
PF19633.2,Protein SET DOMAIN GROUP 2 C-terminal,"Histone-lysine N-methyltransferase ATXR3, also known as protein SET DOMAIN GROUP 2 (SDG2), is a histone methyltransferase specifically required for trimethylation of Lys-4 of histone H3 (H3K4me3) and is crucial for both sporophyte and gametophyte development [1,2]. This is the POST_SET domain located at the C-terminal of SDG2, although there is no significant sequence homology with other Arabidopsis SDGs outside of the SET domain."
PF06136.16,"Protein SOSEKI, plant","This entry represents a group of plant proteins, including protein SOSEKI1-5 from Arabidopsis thaliana and Physcomitrium patens. SOK1-5 integrate apical-basal and radial organismal axes to localise to polar cell edges and contain a DIX oligomerization domain that resembles that in the animal Dishevelled polarity regulator [1-4]."
PF09070.14,PFU (PLAA family ubiquitin binding),This domain is found N terminal to PF08324 and binds to ubiquitin.
PF08625.14,Utp13 specific WD40 associated domain,Utp13 is a component of the five protein Pwp2 complex that forms part of a stable particle subunit independent of the U3 small nucleolar ribonucleoprotein that is essential for the initial assembly steps of the 90S pre-ribosome. Pwp2 is capable of interacting directly with the 35 S pre-rRNA 5 end.
PF02933.20,"Cell division protein 48 (CDC48), domain 2",This domain has a double psi-beta barrel fold and includes VCP-like ATPase and N-ethylmaleimide sensitive fusion protein N-terminal domains. Both the VAT and NSF N-terminal functional domains consist of two structural domains of which this is at the C-terminus. The VAT-N domain found in AAA ATPases PF00004 is a substrate 185-residue recognition domain.
PF12054.11,Domain of unknown function (DUF3535),This presumed domain is functionally uncharacterised. This domain is found in eukaryotes. This domain is typically between 439 to 459 amino acids in length. This domain is found associated with PF00271 PF02985 PF00176. This domain has two completely conserved residues (P and K) that may be functionally important.
PF00010.29,Helix-loop-helix DNA-binding domain,"Littlewood TD, Evan GI; , Protein Profile 1995;2:621-702.: Transcription factors 2: helix-loop-helix. PUBMED:7553065 EPMC:7553065"
PF11722.11,CCCH zinc finger in TRM13 protein,This domain is found at the N-terminus of TRM13 methyltransferase proteins. It is presumed to be a zinc binding domain.
PF03110.17,SBP domain,SBP domains (for SQUAMOSA-pROMOTER BINDING PROTEIN) are found in plant proteins. It is a sequence specific DNA-binding domain. Members of family probably function as transcription factors involved in the control of early flower development. The domain contains 10 conserved cysteine and histidine residues that probably are zinc ligands.
PF01399.30,PCI domain,"This domain has also been called the PINT motif (Proteasome, Int-6, Nip-1 and TRIP-15)."
PF09111.13,SLIDE,"The SLIDE domain adopts a secondary structure comprising a main core of three alpha-helices. It has a role in DNA binding, contacting DNA target sites similar to c-Myb (PF00249) repeats or homeodomains."
PF05773.25,RWD domain,"This domain was identified in WD40 repeat proteins and Ring finger domain proteins. The function of this domain is unknown. GCN2 is the alpha-subunit of the only translation initiation factor (eIF2 alpha) kinase that appears in all eukaryotes. Its function requires an interaction with GCN1 via the domain at its N-terminus, which is termed the RWD domain after three major RWD-containing proteins: RING finger-containing proteins, WD-repeat-containing proteins, and yeast DEAD (DEXD)-like helicases. The structure forms an alpha + beta sandwich fold consisting of two layers: a four-stranded antiparallel beta-sheet, and three side-by-side alpha-helices."
PF03909.20,BSD domain,This domain contains a distinctive -FW- motif. It is found in a family of eukaryotic transcription factors as well as a set of proteins of unknown function.
PF13871.9,C-terminal domain on Strawberry notch homologue,"Strawberry notch proteins carry DExD/H-box groups upstream of this domain. The function of this domain is not known. These proteins promote the expression of diverse targets, potentially through interactions with transcriptional activator or repressor complexes."
PF00320.30,GATA zinc finger,This domain uses four cysteine residues to coordinate a zinc ion. This domain binds to DNA. Two GATA zinc fingers are found in the GATA transcription factors. However there are several proteins which only contain a single copy of the domain.
PF02365.18,No apical meristem (NAM) protein,"This is a family of no apical meristem (NAM) proteins these are plant development proteins. Mutations in NAM result in the failure to develop a shoot apical meristem in petunia embryos. NAM is indicated as having a role in determining positions of meristems and primordial. One member of this family NAP (NAC-like, activated by AP3/PI) is encoded by the target genes of the AP3/PI transcriptional activators and functions in the transition between growth by cell division and cell expansion in stamens and petals."
PF12041.11,Transcriptional regulator DELLA protein N terminal,Gibberellins are plant hormones which have great impact on growth signalling. DELLA proteins are transcriptional regulators of growth related proteins which are downregulated when gibberellins bind to their receptor GID1. GID1 forms a complex with DELLA proteins and signals them towards 26S proteasome. The N terminal of DELLA proteins contains conserved DELLA and VHYNP motifs which are important for GID1 binding and proteolysis of the DELLA proteins.
PF04832.15,SOUL heme-binding protein,This family represents a group of putative heme-binding proteins. Our family includes archaeal and bacterial homologues.
PF00096.29,"Zinc finger, C2H2 type","The C2H2 zinc finger is the classical zinc finger domain. The two conserved cysteines and histidines co-ordinate a zinc ion. The following pattern describes the zinc finger. #-X-C-X(1-5)-C-X3-#-X5-#-X2-H-X(3-6)-[H/C] Where X can be any amino acid, and numbers in brackets indicate the number of residues. The positions marked # are those that are important for the stable fold of the zinc finger. The final position can be either his or cys. The C2H2 zinc finger is composed of two short beta strands followed by an alpha helix. The amino terminal part of the helix binds the major groove in DNA binding zinc fingers. The accepted consensus binding sequence for Sp1 is usually defined by the asymmetric hexanucleotide core GGGCGG but this sequence does not include, among others, the GAG (=CTC) repeat that constitutes a high-affinity site for Sp1 binding to the wt1 promoter."
PF13178.9,Protein of unknown function (DUF4005),This is a C-terminal region of plant IQ-containing putative calmodulin-binding proteins.
PF00225.26,Kinesin motor domain,"Sablin EP, Kull FJ, Cooke R, Vale RD, Fletterick RJ; , Nature 1996;380:550-555.: Crystal-structure of the motor domain af the kinesin-related motor NCD PUBMED:8606780 EPMC:8606780"
PF06640.14,P protein C-terminus,This family represents the C-terminus of plant P proteins. The maize P gene is a transcriptional regulator of genes encoding enzymes for flavonoid biosynthesis in the pathway leading to the production of a red phlobaphene pigment and P proteins are homologous to the DNA-binding domain of myb-like transcription factors. All members of this family contain the PF00249 domain.
PF08662.14,Eukaryotic translation initiation factor eIF2A,This is a family of eukaryotic translation initiation factors.
PF14538.9,Raptor N-terminal CASPase like domain,This domain is found at the N-terminus of the Raptor protein. It has been identified to have a CASPase like structure. It conserves the characteristic cys/his dyad of the caspases suggesting it may have a peptidase activity.
PF04078.16,"Cell differentiation family, Rcd1-like","Two of the members in this family have been characterised as being involved in regulation of Ste11 regulated sex genes [1,2]. Mammalian Rcd1 is a novel transcriptional cofactor that mediates retinoic acid-induced cell differentiation."
PF16199.8,Radical_SAM C-terminal domain,"This domain is found as a C-terminal extension to a subset of Radical_SAM domains. It is found in archaeal, bacterial, fungal, plant and human proteins."
PF00534.23,Glycosyl transferases group 1,"Mutations in this domain of P37287 lead to disease (Paroxysmal Nocturnal haemoglobinuria). Members of this family transfer activated sugars to a variety of substrates, including glycogen, Fructose-6-phosphate and lipopolysaccharides. Members of this family transfer UDP, ADP, GDP or CMP linked sugars. The eukaryotic glycogen synthases may be distant members of this family."
PF02518.29,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","This family represents the structurally related ATPase domains of histidine kinase, DNA gyrase B and HSP90."
PF13450.9,NAD(P)-binding Rossmann-like domain,
PF08242.15,Methyltransferase domain,Members of this family are SAM dependent methyltransferases.
PF01590.29,GAF domain,"This domain is present in cGMP-specific phosphodiesterases, adenylyl and guanylyl cyclases, phytochromes, FhlA and NifA. Adenylyl and guanylyl cyclases catalyse ATP and GTP to the second messengers cAMP and cGMP, respectively, these products up-regulating catalytic activity by binding to the regulatory GAF domain(s). The opposite hydrolysis reaction is catalysed by phosphodiesterase. cGMP-dependent 3,5-cyclic phosphodiesterase catalyses the conversion of guanosine 3,5-cyclic phosphate to guanosine 5-phosphate. Here too, cGMP regulates catalytic activity by GAF-domain binding. Phytochromes are regulatory photoreceptors in plants and bacteria which exist in two thermally-stable states that are reversibly inter-convertible by light: the Pr state absorbs maximally in the red region of the spectrum, while the Pfr state absorbs maximally in the far-red region. This domain is also found in FhlA (formate hydrogen lyase transcriptional activator) and NifA, a transcriptional activator which is required for activation of most Nif operons which are directly involved in nitrogen fixation. NifA interacts with sigma-54. This domain can bind biliverdine and phycocyanobilin (Matilla et al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1. https://doi.org/10.1093/femsre/fuab043)."
PF03924.16,CHASE domain,"This domain is found in the extracellular portion of receptor-like proteins - such as serine/threonine kinases and adenylyl cyclases [1,2]. This is a ligand-binding domain that binds cytokinin (Matilla et.al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1. https://doi.org/10.1093/femsre/fuab043)."
PF02719.18,Polysaccharide biosynthesis protein,This is a family of diverse bacterial polysaccharide biosynthesis proteins including the CapD protein (P39853) WalL protein (O86159) mannosyl-transferase (O05349) and several putative epimerases (e.g. WbiI O69130).
PF00076.25,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","The RRM motif is probably diagnostic of an RNA binding protein. RRMs are found in a variety of RNA binding proteins, including various hnRNP proteins, proteins implicated in regulation of alternative splicing, and protein components of snRNPs. The motif also appears in a few single stranded DNA binding proteins. The RRM structure consists of four strands and two helices arranged in an alpha/beta sandwich, with a third helix present during RNA binding in some cases The C-terminal beta strand (4th strand) and final helix are hard to align and have been omitted in the SEED alignment The LA proteins (P05455) have an N terminal rrm which is included in the seed. There is a second region towards the C terminus that has some features characteristic of a rrm but does not appear to have the important structural core of a rrm. The LA proteins (P05455) are one of the main autoantigens in Systemic lupus erythematosus (SLE), an autoimmune disease."
PF08523.13,Multiprotein bridging factor 1,"This domain is found in the multiprotein bridging factor 1 (MBF1) which forms a heterodimer with MBF2. It has been shown to make direct contact with the TATA-box binding protein (TBP) and interacts with Ftz-F1, stabilising the Ftz-F1-DNA complex. It is also found in the endothelial differentiation-related factor (EDF-1). Human EDF-1 is involved in the repression of endothelial differentiation, interacts with CaM and is phosphorylated by PKC. The domain is found in a wide range of eukaryotic proteins including metazoans, fungi and plants. A helix-turn-helix motif (PF01381) is found to its C-terminus."
PF12481.11,Aluminium induced protein,"This domain family is found in eukaryotes, and is approximately 120 amino acids in length. There are two conserved sequence motifs: YGL and LRDR. This family is related to GATase enzyme domains."
PF16363.8,"GDP-mannose 4,6 dehydratase","This entry represents NAD- and NADP-binding domains with a core Rossmann-type fold, which consists of 3-layers alpha/beta/alpha, where the six beta strands are parallel in the order 321456. Many different enzymes contain an NAD/NADP-binding domain"
PF01073.22,3-beta hydroxysteroid dehydrogenase/isomerase family,The enzyme 3 beta-hydroxysteroid dehydrogenase/5-ene-4-ene isomerase (3 beta-HSD) catalyses the oxidation and isomerisation of 5-ene-3 beta-hydroxypregnene and 5-ene-hydroxyandrostene steroid precursors into the corresponding 4-ene-ketosteroids necessary for the formation of all classes of steroid hormones.
PF00026.26,Eukaryotic aspartyl protease,"Aspartyl (acid) proteases include pepsins, cathepsins, and renins. Two-domain structure, probably arising from ancestral duplication. This family does not include the retroviral nor retrotransposon proteases (PF00077), which are much smaller and appear to be homologous to a single domain of the eukaryotic asp proteases."
PF03106.18,WRKY DNA -binding domain,"Eulgem T, Rushton PJ, Robatzek S, Somssich IE; , Trends Plant Sci 2000;5:199-206.: The WRKY superfamily of plant transcription factors. PUBMED:10785665 EPMC:10785665"
PF04873.16,Ethylene insensitive 3,"Ethylene insensitive 3 (EIN3) proteins are a family of plant DNA-binding proteins that regulate transcription in response to the gaseous plant hormone ethylene, and are essential for ethylene-mediated responses including the triple response, cell growth inhibition, and accelerated senescence."
PF04676.17,Protein similar to CwfJ C-terminus 2,This region is found in the N terminus of Schizosaccharomyces pombe protein CwfJ (Q09909). CwfJ is part of the Cdc5p complex involved in mRNA splicing.
PF00125.27,Core histone H2A/H2B/H3/H4,"Luger K, Mader AW, Richmond RK, Sargent DF, Richmond TJ; , Nature 1997;389:251-260.: Crystal structure of the nucleosome core particle at 2.8 A resolution. PUBMED:9305837 EPMC:9305837"
PF00646.36,F-box domain,"This domain is approximately 50 amino acids long, and is usually found in the N-terminal half of a variety of proteins. Two motifs that are commonly found associated with the F-box domain are the leucine rich repeats (LRRs; PF00560 and PF07723) and the WD repeat (PF00400). The F-box domain has a role in mediating protein-protein interactions in a variety of contexts, such as polyubiquitination, transcription elongation, centromere binding and translational repression [1-2]."
PF05142.15,Domain of unknown function (DUF702),Members of this family are found in various putative zinc finger proteins.
PF03399.19,SAC3/GANP family,"This family includes diverse proteins involved in large complexes. The alignment contains one highly conserved negatively charged residue and one highly conserved positively charged residue that are probably important for the function of these proteins. The family includes the yeast nuclear export factor Sac3 P46674 and mammalian GANP/MCM3-associated proteins, which facilitate the nuclear localisation of MCM3, a protein that associates with chromatin in the G1 phase of the cell-cycle."
PF00560.36,Leucine Rich Repeat,CAUTION: This Pfam may not find all Leucine Rich Repeats in a protein. Leucine Rich Repeats are short sequence motifs present in a number of proteins with diverse functions and cellular locations. These repeats are usually involved in protein-protein interactions. Each Leucine Rich Repeat is composed of a beta-alpha unit. These units form elongated non-globular structures. Leucine Rich Repeats are often flanked by cysteine rich domains.
PF00271.34,Helicase conserved C-terminal domain,"The Prosite family is restricted to DEAD/H helicases, whereas this domain family is found in a wide variety of helicases and helicase related proteins. It may be that this is not an autonomously folding unit, but an integral part of the helicase."
PF08880.14,QLQ,"The QLQ domain is named after the conserved Gln, Leu, Gln motif. The QLQ domain is found at the N-terminus of SWI2/SNF2 protein, which has been shown to be involved in protein-protein interactions. This domain has thus been postulated to be involved in mediating protein interactions."
PF00847.23,AP2 domain,This 60 amino acid residue domain can bind to DNA and is found in transcription factor proteins.
PF01636.26,Phosphotransferase enzyme family,"This family consists of bacterial antibiotic resistance proteins, which confer resistance to various aminoglycosides they include: aminoglycoside 3-phosphotransferase or kanamycin kinase / neomycin-kanamycin phosphotransferase and streptomycin 3-kinase or streptomycin 3-phosphotransferase. The aminoglycoside phosphotransferases inactivate aminoglycoside antibiotics via phosphorylation. This family also includes homoserine kinase. This family is related to fructosamine kinase PF03881."
PF12315.11,Protein DA1,"Proteins in this family include protein DA1 and its homologues. In Arabidopsis thaliana, DA1 is an ubiquitin receptor that limits final seed and organ size by restricting the period of cell proliferation. It may act maternally to control seed mass."
PF08324.14,PUL domain,"The PUL (PLAP, Ufd3p and Lub1p) domain is a novel alpha-helical Ub-associated domain. It directly binds to Cdc48, a chaperone-like AAA ATPase that collects ubiquitylated substrates."
PF02183.21,Homeobox associated leucine zipper,This region is a plant specific leucine zipper that is always found associated with a homeobox
PF14389.9,Leucine-zipper of ternary complex factor MIP1,"This leucine-zipper is towards the N-terminus of MIP1 proteins. These proteins, here largely from plants, are subunits of the TORC2 (rictor-mTOR) protein complex controlling cell growth and proliferation. The leucine-zipper is likely to be the region that interacts with plant MADS-box factors"
PF00651.34,BTB/POZ domain,"The BTB (for BR-C, ttk and bab) or POZ (for Pox virus and Zinc finger) domain is present near the N-terminus of a fraction of zinc finger (PF00096) proteins and in proteins that contain the PF01344 motif such as Kelch and a family of pox virus proteins. The BTB/POZ domain mediates homomeric dimerisation and in some instances heteromeric dimerisation. The structure of the dimerised PLZF BTB/POZ domain has been solved and consists of a tightly intertwined homodimer. The central scaffolding of the protein is made up of a cluster of alpha-helices flanked by short beta-sheets at both the top and bottom of the molecule. POZ domains from several zinc finger proteins have been shown to mediate transcriptional repression and to interact with components of histone deacetylase co-repressor complexes including N-CoR and SMRT [4,5,6]. The POZ or BTB domain is also known as BR-C/Ttk or ZiN."
PF00612.30,IQ calmodulin-binding motif,Calmodulin-binding motif.
PF09425.13,Jas motif,This entry represents the Jas motif. The Jas motif can bind to jasmonate as a partially unwound helix. It can also bind to Myc proteins which are key mediators of josmonate signalling in plants.
PF13385.9,Concanavalin A-like lectin/glucanases superfamily,This domain belongs to the Concanavalin A-like lectin/glucanases superfamily.
PF17538.5,DNA Binding Domain (C-terminal) Leafy/Floricaula,"This family consists of various plant development proteins which are homologues of floricaula (FLO) and Leafy (LFY) proteins which are floral meristem identity proteins. Mutations in the sequences of these proteins affect flower and leaf development. LFY is a plant-specific transcription factor (TF) essential for flower development. It is one of the few master regulators of flower development, as it integrates environmental and endogenous signals to orchestrate the whole floral network. Transcription factors such as LFY, recognize short DNA motifs primarily through their DNA-binding domain. Upon binding to short stretches of DNA called cis-elements or TF binding sites (TFBS), they regulate gene expression. This entry represents the DNA binding domain found in C-terminal of LFY proteins in plants. Structure-function studies have demonstrated that LFY binds semi-palindromic 19-bp DNA elements through its highly conserved C-terminal DBD, a unique helix-turn-helix fold that by itself dimerizes on DNA."
PF06220.15,U1 zinc finger,"This family consists of several U1 small nuclear ribonucleoprotein C (U1-C) proteins. The U1 small nuclear ribonucleoprotein (U1 snRNP) binds to the pre-mRNA 5 splice site (ss) at early stages of spliceosome assembly. Recruitment of U1 to a class of weak 5 ss is promoted by binding of the protein TIA-1 to uridine-rich sequences immediately downstream from the 5 ss. Binding of TIA-1 in the vicinity of a 5 ss helps to stabilise U1 snRNP recruitment, at least in part, via a direct interaction with U1-C, thus providing one molecular mechanism for the function of this splicing regulator. This domain is probably a zinc-binding. It is found in multiple copies in some members of the family."
PF14619.9,"Snf2-ATP coupling, chromatin remodelling complex",This domain appears to play a crucial role in chromatin remodelling for yeast SWI/SNF. It binds histones. It is required for mobilising nucleosomes and lies within the catalytic subunit of the yeast SWI/SNF. It is found to be universally conserved.
PF05089.15,Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain,"Alpha-N-acetylglucosaminidase, a lysosomal enzyme required for the stepwise degradation of heparan sulfate. Mutations on the alpha-N-acetylglucosaminidase (NAGLU) gene can lead to Mucopolysaccharidosis type IIIB (MPS IIIB; or Sanfilippo syndrome type B) characterised by neurological dysfunction but relatively mild somatic manifestations. The structure shows that the enzyme is composed of three domains. This central domain has a tim barrel fold."
PF08214.14,Histone acetylation protein,"Histone acetylation is required in many cellular processes including transcription, DNA repair, and chromatin assembly. This family contains the fungal KAT11 protein (previously known as RTT109) which is required for H3K56 acetylation. Loss of KAT11 results in the loss of H3K56 acetylation, both on bulk histone and on chromatin. KAT11 and H3K56 acetylation appear to correlate with actively transcribed genes and associate with the elongating form of Pol II in yeast. This family also incorporates the p300/CBP histone acetyltransferase domain which has different catalytic properties and cofactor regulation to KAT11."
PF12706.10,Beta-lactamase superfamily domain,This family is part of the beta-lactamase superfamily and is related to PF00753.
PF00583.28,Acetyltransferase (GNAT) family,This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.
PF13522.9,Glutamine amidotransferase domain,"This domain is a class-II glutamine amidotransferase domain found in a variety of enzymes, such as asparagine synthetase and glutamine--fructose-6-phosphate transaminase."
PF00650.23,CRAL/TRIO domain,"Sha B, Phillips SE, Bankaitis VA, Luo M; , Nature 1998;391:506-510.: Crystal structure of the Saccharomyces cerevisiae phosphatidylinositol-transfer protein. PUBMED:9461221 EPMC:9461221"
PF01843.22,DIL domain,The DIL domain has no known function.
PF00046.32,Homeodomain,"Gehring WJ; , Trends Biochem Sci 1992;17:277-280.: The homeobox in perspective. PUBMED:1357790 EPMC:1357790"
PF03330.21,Lytic transglycolase,"Rare lipoprotein A (RlpA) contains a conserved region that has the double-psi beta-barrel (DPBB) fold [3,4]. The function of RlpA is not well understood, but it has been shown to act as a prc mutant suppressor in Escherichia coli. The DPBB fold is often an enzymatic domain. The members of this family are quite diverse, and if catalytic this family may contain several different functions. Another example of this domain is found in the N terminus of pollen allergen. Recent studies show that the full-length RlpA protein from Pseudomonas Aeruginosa is an outer membrane protein that is a lytic transglycolase with specificity for peptidoglycan lacking stem peptides. Residue D157 in UniProtKB:Q9X6V6 is critical for lytic activity."
PF00170.24,bZIP transcription factor,The Pfam entry includes the basic region and the leucine zipper region.
PF00235.22,Profilin,Profilin binds to Monomeric Actin to take ATP to form F-Actin and then form a hetrodimer which can bind to the plus end of an Actin filament.
PF09384.13,UTP15 C terminal,"U3 snoRNA is ubiquitous in eukaryotes and is required for nucleolar processing of pre-18S ribosomal RNA. It is a component of the ribosomal small subunit (SSU) processome. UTP15 is needed for optimal pre-ribosomal RNA transcription by RNA polymerase I, together with a subset of U3 proteins required for transcription (t-UTPs). This entry represents the C terminal of UTP15, and is found adjacent to WD40 repeats (PF00400)."
PF08241.15,Methyltransferase domain,Members of this family are SAM dependent methyltransferases.
PF10602.12,26S proteasome subunit RPN7,RPN7 (known as the non ATPase regulatory subunit 6 in higher eukaryotes) is one of the lid subunits of the 26S proteasome and has been shown in Saccharomyces cerevisiae to be required for structural integrity. The 26S proteasome is is involved in the ATP-dependent degradation of ubiquitinated proteins.
PF00270.32,DEAD/DEAH box helicase,"Members of this family include the DEAD and DEAH box helicases. Helicases are involved in unwinding nucleic acids. The DEAD box helicases are involved in various aspects of RNA metabolism, including nuclear transcription, pre mRNA splicing, ribosome biogenesis, nucleocytoplasmic transport, translation, RNA decay and organellar gene expression."
PF13445.9,RING-type zinc-finger,This zinc-finger is a typical RING-type of plant ubiquitin ligases.
PF10440.12,Ubiquitin-binding WIYLD domain,"This presumed domain has been predicted to contain three alpha helices. The domain was named the WIYLD domain based on the pattern of most conserved residues. It binds ubiquitin. In the Arabidopsis thaliana histone-lysine N-methyltransferase SUVR4, Q8W595 binding of ubiquitin to this domain stimulates enzymatic activity and converts its activity from a strict dimethylase to a di/trimethylase."
PF13606.9,Ankyrin repeat,"Ankyrins are multifunctional adaptors that link specific proteins to the membrane-associated, spectrin- actin cytoskeleton. This repeat-domain is a membrane-binding domain of up to 24 repeated units, and it mediates most of the proteins binding activities."
PF13460.9,NAD(P)H-binding,"This entry represents NAD- and NADP-binding domains with a core Rossmann-type fold, which consists of 3-layers alpha/beta/alpha, where the six beta strands are parallel in the order 321456. Many different enzymes contain an NAD/NADP-binding domain"
PF06200.17,tify domain,"This short possible domain is found in a variety of plant transcription factors that contain GATA domains as well as other motifs. Although previously known as the Zim domain this is now called the tify domain after its most conserved amino acids. TIFY proteins can be further classified into two groups depending on the presence (group I) or absence (group II) of a C2C2-GATA domain. Functional annotation of these proteins is still poor, but several screens revealed a link between TIFY proteins of group II and jasmonic acid-related stress response."
PF11831.11,pre-mRNA splicing factor component,"This family is a region of the Myb-Related Cdc5p/Cef1 proteins, in fungi, and is part of the pre-mRNA splicing factor complex."
PF12436.11,ICP0-binding domain of Ubiquitin-specific protease 7,This domain is one of two C-terminal domains on the much longer ubiquitin-specific proteases. This particular one is found to interact with the herpesvirus 1 trans-acting transcriptional protein ICP0/VMW110.
PF01494.22,FAD binding domain,This domain is involved in FAD binding in a number of enzymes.
PF00628.32,PHD-finger,PHD folds into an interleaved type of Zn-finger chelating 2 Zn ions in a similar manner to that of the RING and FYVE domains. Several PHD fingers have been identified as binding modules of methylated histone H3.
PF07651.19,ANTH domain,"AP180 is an endocytotic accessory proteins that has been implicated in the formation of clathrin-coated pits. The domain is involved in phosphatidylinositol 4,5-bisphosphate binding and is a universal adaptor for nucleation of clathrin coats [1,2]."
PF14608.9,"RNA-binding, Nab2-type zinc finger","This is an unusual zinc-finger family, and is represented by fingers 5-7 of Nab2. Nab2 ZnF5-7 are zinc-fingers of the type C-x8-C-x5-C-x3-H. Nab2 ZnFs function in the generation of export-competent mRNPs. Mab2 is a conserved polyadenosine-RNA-binding Zn finger protein required for both mRNA export and polyadenylation regulation and becomes attached to the mRNP after splicing and during or immediately after polyadenylation. The three ZnFs, 5-7, have almost identical folds and, most unusually, associate with one another to form a single coherent structural unit. ZnF5-7 bind to eight consecutive adenines, and chemical shift perturbations identify residues on each finger that interact with RNA."
PF00443.32,Ubiquitin carboxyl-terminal hydrolase,Ubiquitin carboxyl-terminal hydrolases (UCH) ( EC ) [ PUBMED:1647207 ] are thiol proteases that recognise and hydrolyse the peptide bond at the C-terminal glycine of ubiquitin. These enzymes are involved in the processing of poly-ubiquitin precursors as well as that of ubiquinated proteins.
PF01428.19,AN1-like Zinc finger,"Zinc finger at the C-terminus of An1 Q91889 a ubiquitin-like protein in Xenopus laevis. The following pattern describes the zinc finger. C-X2-C-X(9-12)-C-X(1-2)-C-X4-C-X2-H-X5-H-X-C Where X can be any amino acid, and numbers in brackets indicate the number of residues."
PF17862.4,AAA+ lid domain,This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.
PF17907.4,AWS domain,"This entry represents the AWS (associated with SET domain) domain. This is a zinc binding domain. The full AWS domain contains 8 cysteines. This entry represents the N-terminal part of the domain, with the C-terminal part interwoven with the SET domain."
PF13325.9,N-terminal region of micro-spherule protein,"This domain is found in plants and higher eukaryotes, and is the N-terminal region of micro-spherule proteins which repress the transactivation activities of Nrf1 (p45 nuclear factor-erythroid 2 (p45 NF-E2)-related factor 1). In conjunction with DIPA the full-length protein acts as a transcription repressor. The exact function of the region is not known."
PF07529.16,HSA domain,This domain is predicted to bind DNA and is often found associated with helicases. This region does not form a compact domain in the known structures.
PF13855.9,Leucine rich repeat,A leucine-rich repeat (LRR) is a protein structural motif that forms an Î±/Î² horseshoe fold. It is composed of repeating 20-30 amino acid stretches that are unusually rich in the hydrophobic amino acid leucine.
